iter	Logloss
0	0.5872665886
1	0.509802467
2	0.4631970433
3	0.4211736343
4	0.3934420076
5	0.3707220671
6	0.3546947856
7	0.3409638954
8	0.3311543213
9	0.3241516553
10	0.3171837861
11	0.3123376953
12	0.3060489569
13	0.3025758235
14	0.2987514688
15	0.2953345618
16	0.2894965488
17	0.2870161254
18	0.2850099741
19	0.2830377631
20	0.281078355
21	0.2784873587
22	0.2766480029
23	0.2742024448
24	0.2718347162
25	0.2699434901
26	0.2674430751
27	0.2660925758
28	0.2643157013
29	0.2626367412
30	0.2611810593
31	0.2595719553
32	0.2583499997
33	0.25730126
34	0.2556805126
35	0.2545585086
36	0.2536140162
37	0.2521817154
38	0.2503622774
39	0.2496211089
40	0.2488818188
41	0.2477334206
42	0.2467958371
43	0.2459063859
44	0.2445696175
45	0.2437385033
46	0.2430984656
47	0.2415272613
48	0.2410227194
49	0.2399305336
50	0.238292124
51	0.2371322877
52	0.2360667132
53	0.2353800559
54	0.2343782839
55	0.2335189757
56	0.2325393496
57	0.2315565109
58	0.2307282484
59	0.2300235672
60	0.2294717495
61	0.2288284207
62	0.2278490455
63	0.2272775126
64	0.226748011
65	0.2254126902
66	0.2248081384
67	0.2239748377
68	0.2230555285
69	0.2222127634
70	0.2210983957
71	0.2204331169
72	0.2199418667
73	0.2192084836
74	0.2187747316
75	0.2179533406
76	0.217391959
77	0.2167287349
78	0.2159291373
79	0.2152835564
80	0.2146945295
81	0.2129013549
82	0.2123269883
83	0.2115706688
84	0.2108045437
85	0.2101486714
86	0.2093875504
87	0.2087714301
88	0.2082157395
89	0.2075278634
90	0.2068359587
91	0.2058849638
92	0.2048367489
93	0.2041418472
94	0.2035506002
95	0.2029490811
96	0.2020754904
97	0.2013960839
98	0.2006348111
99	0.1999742293
100	0.1994972598
101	0.198326089
102	0.1973722444
103	0.1961757463
104	0.1956581925
105	0.1951625136
106	0.1943567717
107	0.1936529764
108	0.1930538106
109	0.192702667
110	0.1921852681
111	0.1914503635
112	0.1911997652
113	0.1904006506
114	0.1894605742
115	0.1881214483
116	0.1872588243
117	0.1866822671
118	0.1857893535
119	0.1852561669
120	0.1844250958
121	0.1841563293
122	0.1835084475
123	0.1827672672
124	0.1824195396
125	0.1819303824
126	0.1812640494
127	0.1806689326
128	0.1800837593
129	0.179311869
130	0.1790685771
131	0.1786541494
132	0.1780661886
133	0.177317387
134	0.1768774281
135	0.1763083977
136	0.1760030908
137	0.1755568992
138	0.1750814093
139	0.1744339187
140	0.1736004632
141	0.1731969686
142	0.1725304704
143	0.1720445984
144	0.1706420291
145	0.1698987492
146	0.1693098436
147	0.1687068068
148	0.1681547457
149	0.1677134739
150	0.1671705493
151	0.1668094546
152	0.1663954327
153	0.1659991454
154	0.1655342914
155	0.1651095924
156	0.1645454942
157	0.1640949657
158	0.1634519935
159	0.1628317943
160	0.162297324
161	0.161738542
162	0.1614201454
163	0.1610665695
164	0.1604793041
165	0.160015175
166	0.1593486154
167	0.1591347187
168	0.1587927092
169	0.1585164768
170	0.1580241119
171	0.157815679
172	0.1574586997
173	0.1568625748
174	0.1564995816
175	0.1562102634
176	0.1558469567
177	0.155566189
178	0.1553380794
179	0.1546473937
180	0.1544259431
181	0.1540678443
182	0.1537828501
183	0.1532605239
184	0.1530027607
185	0.1524359305
186	0.1519165872
187	0.1517790457
188	0.1515300106
189	0.1511197206
190	0.1505458328
191	0.1500210529
192	0.1494438354
193	0.1488857392
194	0.1483857967
195	0.1480595935
196	0.1477931993
197	0.1474527899
198	0.1470141865
199	0.1465295417
200	0.1462496458
201	0.1458266233
202	0.1455575324
203	0.1451366718
204	0.1447853715
205	0.1444398329
206	0.1441250124
207	0.1439099482
208	0.1435268319
209	0.1430424754
210	0.142812738
211	0.1426360593
212	0.1424009742
213	0.1421248745
214	0.1414063251
215	0.141095706
216	0.1408320734
217	0.1405206341
218	0.1401016847
219	0.13971167
220	0.1393426085
221	0.1388485692
222	0.1386042248
223	0.1382025177
224	0.1378565954
225	0.1375873267
226	0.1373456249
227	0.1371867217
228	0.136753433
229	0.136518817
230	0.1361243637
231	0.1357688445
232	0.1354108362
233	0.1351764531
234	0.1349251232
235	0.1348012835
236	0.1345612596
237	0.1342622109
238	0.1339439013
239	0.1335237208
240	0.1333550496
241	0.1330966674
242	0.132520295
243	0.1322100738
244	0.1318273961
245	0.1315963868
246	0.1311463718
247	0.130933385
248	0.1306862954
249	0.1304628174
250	0.1300533968
251	0.1298317415
252	0.1295887714
253	0.1292363386
254	0.1289636371
255	0.1287048662
256	0.1284738594
257	0.1279395574
258	0.1276673594
259	0.12720004
260	0.1267827966
261	0.1264994231
262	0.1262618732
263	0.1259736935
264	0.125633023
265	0.1251692855
266	0.1248524978
267	0.1244943096
268	0.1241625133
269	0.1239385167
270	0.1237009323
271	0.1234413642
272	0.1230568275
273	0.1228206768
274	0.1225676185
275	0.1223348332
276	0.1221948209
277	0.1219792932
278	0.1216579402
279	0.1214107875
280	0.1211380826
281	0.1209816535
282	0.120777932
283	0.12056033
284	0.1201396878
285	0.1196758603
286	0.1195370769
287	0.1193055146
288	0.1190330089
289	0.1189224256
290	0.1186247206
291	0.1183564889
292	0.1180013941
293	0.1178010822
294	0.1176743421
295	0.1174160758
296	0.1172042287
297	0.1169499049
298	0.1166247768
299	0.116435145
